dataset,source,distribution,test,config,n_points,n_queries,k,build_s,kd3_s,kd3_qps,nf_build_s,nf_s,nf_qps,kd3_ok,nf_ok
autzen,file,bbox-volume,knn,base,5000000,100000,10,0.0864001,1.62164,61665.8,0.416342,0.694233,144044,1,1
autzen,file,on-cloud,knn,base,5000000,100000,10,0.0864001,0.195428,511698,0.416342,0.338618,295318,1,1
autzen,file,bbox-volume,knn,aabb,5000000,100000,10,0.0860302,0.336017,297604,0.416342,0.694233,144044,1,1
autzen,file,on-cloud,knn,aabb,5000000,100000,10,0.0860302,0.191564,522019,0.416342,0.338618,295318,1,1
autzen,file,bbox-volume,nn1,base,5000000,100000,1,0.0727173,1.26011,79357.9,0.416342,0.405519,246598,1,1
autzen,file,on-cloud,nn1,base,5000000,100000,1,0.0727173,0.106415,939719,0.416342,0.216135,462675,1,1
autzen,file,bbox-volume,nn1,aabb,5000000,100000,1,0.0775829,0.166089,602086,0.416342,0.405519,246598,1,1
autzen,file,on-cloud,nn1,aabb,5000000,100000,1,0.0775829,0.0884189,1.13098e+06,0.416342,0.216135,462675,1,1
autzen,file,bbox-volume,nn1,fast,5000000,100000,1,0.0699715,0.529497,188858,0.416342,0.405519,246598,1,1
autzen,file,on-cloud,nn1,fast,5000000,100000,1,0.0699715,0.0625573,1.59853e+06,0.416342,0.216135,462675,1,1
autzen,file,bbox-volume,nn1,fast-aabb,5000000,100000,1,0.0648132,0.115725,864114,0.416342,0.405519,246598,1,1
autzen,file,on-cloud,nn1,fast-aabb,5000000,100000,1,0.0648132,0.0683389,1.4633e+06,0.416342,0.216135,462675,1,1
bunny,file,bbox-volume,knn,base,35947,100000,10,0.00992443,0.265689,376380,0.00250459,0.247411,404186,1,1
bunny,file,on-cloud,knn,base,35947,100000,10,0.00992443,0.0753718,1.32676e+06,0.00250459,0.0776997,1.28701e+06,1,1
bunny,file,bbox-volume,knn,aabb,35947,100000,10,0.0072606,0.186689,535651,0.00250459,0.247411,404186,1,1
bunny,file,on-cloud,knn,aabb,35947,100000,10,0.0072606,0.0788707,1.2679e+06,0.00250459,0.0776997,1.28701e+06,1,1
bunny,file,bbox-volume,nn1,base,35947,100000,1,0.0113893,0.146131,684316,0.00250459,0.152454,655936,1,1
bunny,file,on-cloud,nn1,base,35947,100000,1,0.0113893,0.015397,6.49477e+06,0.00250459,0.0250909,3.9855e+06,1,1
bunny,file,bbox-volume,nn1,aabb,35947,100000,1,0.00741643,0.0844379,1.1843e+06,0.00250459,0.152454,655936,1,1
bunny,file,on-cloud,nn1,aabb,35947,100000,1,0.00741643,0.0174268,5.73829e+06,0.00250459,0.0250909,3.9855e+06,1,1
bunny,file,bbox-volume,nn1,fast,35947,100000,1,0.0077377,0.0760036,1.31573e+06,0.00250459,0.152454,655936,1,1
bunny,file,on-cloud,nn1,fast,35947,100000,1,0.0077377,0.0092495,1.08114e+07,0.00250459,0.0250909,3.9855e+06,1,1
bunny,file,bbox-volume,nn1,fast-aabb,35947,100000,1,0.00898806,0.0557066,1.79512e+06,0.00250459,0.152454,655936,1,1
